,similarity_scores_80,similarity_scores_85,similarity_scores_90,similarity_scores_95
Rollaway/extra beds available,"['Rollaway beds', 'Rollaway/extra beds available']","['Rollaway beds', 'Rollaway/extra beds available']",['Rollaway/extra beds available'],['Rollaway/extra beds available']
Chairs,"['Chairs', 'Deck chairs']","['Chairs', 'Deck chairs']",['Chairs'],['Chairs']
Breakfast in the room,"['Attached bathroom in all the rooms', 'Lobby in the guest house', 'Breakfast in the Room', 'Tea/ Coffee Maker in the Rooms', 'Living Room and Bed Room', 'TEA MAKER IN ROOM', 'Breakfast in the room', 'In-room massage available', 'In room safe', 'Separate living room', 'Sofa in the room', 'Breakfast Room', 'A suite with terrace and Fire Place', 'In-room safe (some rooms)', 'Safe at Reception / Room', 'Tea/Coffee maker in the Room', 'Dining Room Available for groups on special arrangement', 'TVLiving Room', 'Separate dining room', 'Shared bathroom with sink in room', '250 room space for double room, with Wify,', 'In-room safe']","['Attached bathroom in all the rooms', 'Lobby in the guest house', 'Breakfast in the Room', 'Living Room and Bed Room', 'Breakfast in the room', 'In room safe', 'Sofa in the room', 'Breakfast Room', 'In-room safe (some rooms)', 'In-room safe']","['Breakfast in the Room', 'Breakfast in the room']","['Breakfast in the Room', 'Breakfast in the room']"
Picnic area,"['Picnic area', 'Barbeque Area', 'Shwoer Area']","['Picnic area', 'Barbeque Area']",['Picnic area'],['Picnic area']
Long-term parking (surcharge),"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Parking (surcharge)', 'Long-term parking (surcharge)', 'Free long-term parking', 'Garage parking (surcharge)', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Parking nearby (surcharge)', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']","['Long-term parking (surcharge)', 'Free long-term parking', 'Covered parking (surcharge)', 'Self parking (surcharge)', 'Parking limited (surcharge)']",['Long-term parking (surcharge)'],['Long-term parking (surcharge)']
Free international calls,"['Free local calls', 'Free international calls']","['Free local calls', 'Free international calls']",['Free international calls'],['Free international calls']
Sea View,"['Sea view', 'Sea View', 'Beach view', 'Ocean View', 'Ocean view', 'Water view']","['Sea view', 'Sea View', 'Ocean View', 'Ocean view']","['Sea view', 'Sea View', 'Ocean View', 'Ocean view']","['Sea view', 'Sea View']"
Badminton,"['Badminton', 'Badminton Court']",['Badminton'],['Badminton'],['Badminton']
Shops in Hotel,['Shops in Hotel'],['Shops in Hotel'],['Shops in Hotel'],['Shops in Hotel']
Garden or Pool View,"['Pool View', 'Outdoor Swimming Pool (all year)', 'Pool or Garden View', 'Garden View', 'Garden or Pool View', 'Pool view', 'Private Garden', 'Garden view', 'Balcony or patio']","['Pool View', 'Pool or Garden View', 'Garden View', 'Garden or Pool View', 'Pool view', 'Garden view']","['Pool or Garden View', 'Garden or Pool View']","['Pool or Garden View', 'Garden or Pool View']"
Ski-in/ski-out,"['Ski school', 'Ski-in/ski-out']",['Ski-in/ski-out'],['Ski-in/ski-out'],['Ski-in/ski-out']
Iron,"['Iron', 'Iron/Iron board']","['Iron', 'Iron/Iron board']","['Iron', 'Iron/Iron board']",['Iron']
Beauty parlour,"['Barber/beauty salon', 'Beauty parlour']",['Beauty parlour'],['Beauty parlour'],['Beauty parlour']
"Kitchen linens (dishtowels, sponges, etc.)","['Kitchen linens (dishtowels, sponges, etc.)']","['Kitchen linens (dishtowels, sponges, etc.)']","['Kitchen linens (dishtowels, sponges, etc.)']","['Kitchen linens (dishtowels, sponges, etc.)']"
Breakfast service,"['Room Service', 'Breakfast Buffet', 'Breakfast services', 'Breakfast service', 'Room service', 'Breakfast buffet', 'Room Service, 24 Hour Reception And Laundry Service', 'breakfast', 'Complimentary Breakfast']","['Breakfast services', 'Breakfast service']","['Breakfast services', 'Breakfast service']",['Breakfast service']
Designated smoking area,"['Designated smoking areas (fines apply)', 'Designated Smoking Area', 'Designated smoking area', 'Designated smoking areas', 'Non-smoking rooms and areas']","['Designated smoking areas (fines apply)', 'Designated Smoking Area', 'Designated smoking area', 'Designated smoking areas']","['Designated Smoking Area', 'Designated smoking area', 'Designated smoking areas']","['Designated Smoking Area', 'Designated smoking area', 'Designated smoking areas']"
Babysitting or childcare (free),"['Babysitting or childcare (surcharge)', 'Supervised childcare/activities (free)', 'Babysitting or childcare (free)', 'Babysitting or child care', 'Babysitting or childcare', 'Babysitting/Child Services']","['Babysitting or childcare (surcharge)', 'Babysitting or childcare (free)', 'Babysitting or childcare']","['Babysitting or childcare (free)', 'Babysitting or childcare']",['Babysitting or childcare (free)']
Free long-distance calls,"['Free local calls', 'Free long-distance calls', 'Free long-term parking']",['Free long-distance calls'],['Free long-distance calls'],['Free long-distance calls']
Room Services 7 Am To 9 Pm,"['Room Service from  7:00 to  9:30', 'Room Service 7 Am To 9 Pm', 'Room Service 7am-11:30pm', 'Room Services 7 Am To 9 Pm', 'Room Service 6 Am - 12 Night', 'Room Service from 7:00 to 9:30']","['Room Service 7 Am To 9 Pm', 'Room Service 7am-11:30pm', 'Room Services 7 Am To 9 Pm', 'Room Service 6 Am - 12 Night']","['Room Service 7 Am To 9 Pm', 'Room Service 7am-11:30pm', 'Room Services 7 Am To 9 Pm', 'Room Service 6 Am - 12 Night']","['Room Service 7 Am To 9 Pm', 'Room Service 7am-11:30pm', 'Room Services 7 Am To 9 Pm']"
Room Service 6 Am - 12 Night,"['Room service (24 hours)', 'Room Service from  7:00 to  9:30', '24 hour room service', 'Room Service 24 Hrs', 'Room Service 7 Am To 9 Pm', 'Check-Out Time is 12 Noon', 'Room Service, 24 Hour Reception', 'Room Service 7am-11:30pm', 'Room Services 7 Am To 9 Pm', 'Room Service 6 Am - 12 Night', '24-hr Room Service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room Service from 7:00 to 9:30', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)', '24-hour Room Service']","['Room service (24 hours)', 'Room Service from  7:00 to  9:30', '24 hour room service', 'Room Service 7 Am To 9 Pm', 'Room Service, 24 Hour Reception', 'Room Service 7am-11:30pm', 'Room Services 7 Am To 9 Pm', 'Room Service 6 Am - 12 Night', 'Room Service from 7:00 to 9:30', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)', '24-hour Room Service']","['Room Service 7 Am To 9 Pm', 'Room Service 7am-11:30pm', 'Room Services 7 Am To 9 Pm', 'Room Service 6 Am - 12 Night']","['Room Service 7am-11:30pm', 'Room Service 6 Am - 12 Night']"
Iron/ironing board (on request),"['Iron/ironing board', 'Iron/ironing board (on request)', 'Iron/Iron board', 'Ironing Board', 'Iron/ironing board(on request)']","['Iron/ironing board', 'Iron/ironing board (on request)', 'Ironing Board', 'Iron/ironing board(on request)']","['Iron/ironing board', 'Iron/ironing board (on request)', 'Iron/ironing board(on request)']","['Iron/ironing board (on request)', 'Iron/ironing board(on request)']"
HDTV,['HDTV'],['HDTV'],['HDTV'],['HDTV']
Terrace,"['Rooftop terrace', 'Furnished balcony', 'Balcony', 'Terrace', 'Sun Terrace', 'Pool Terrace', 'Furnished balcony or patio', 'Garden terrace', 'Sun terrace']","['Rooftop terrace', 'Terrace', 'Sun Terrace', 'Pool Terrace', 'Garden terrace', 'Sun terrace']","['Rooftop terrace', 'Terrace', 'Pool Terrace', 'Garden terrace']",['Terrace']
Beach view,"['Private Beach Area', 'Pool View', 'Sea view', 'Private beach', 'Sea View', 'Beach view', 'Pool view', 'Ocean View', 'Ocean view']",['Beach view'],['Beach view'],['Beach view']
Sun Terrace,"['Sun Beds (pool)', 'Rooftop terrace', 'Terrace', 'Sun Terrace', 'Pool Terrace', 'Garden terrace', 'Sun terrace', 'Beach sun loungers']","['Terrace', 'Sun Terrace', 'Sun terrace']","['Sun Terrace', 'Sun terrace']","['Sun Terrace', 'Sun terrace']"
Makeup mirror,"['Makeup mirror', 'Makeup/shaving mirror']","['Makeup mirror', 'Makeup/shaving mirror']","['Makeup mirror', 'Makeup/shaving mirror']",['Makeup mirror']
Up box.,['Up box.'],['Up box.'],['Up box.'],['Up box.']
Washing Machine,['Washing Machine'],['Washing Machine'],['Washing Machine'],['Washing Machine']
Non-smoking throughout,"['Non-smoking rooms', 'Non-smoking throughout', 'Non-Smoking Rooms', 'Non-smoking only', 'Non-smoking rooms and areas', 'All Public and Private spaces non-smoking']","['Non-smoking rooms', 'Non-smoking throughout', 'Non-Smoking Rooms', 'Non-smoking only', 'Non-smoking rooms and areas']","['Non-smoking throughout', 'Non-smoking only']",['Non-smoking throughout']
Non-Smoking Rooms,"['Non-smoking rooms', 'Smoking rooms', 'Non-smoking throughout', 'Non-Smoking Rooms', 'Non-smoking only', 'Non-smoking rooms and areas', 'No smoking rooms', 'All Public and Private spaces non-smoking']","['Non-smoking rooms', 'Smoking rooms', 'Non-smoking throughout', 'Non-Smoking Rooms', 'Non-smoking only', 'Non-smoking rooms and areas', 'No smoking rooms']","['Non-smoking rooms', 'Smoking rooms', 'Non-Smoking Rooms', 'Non-smoking rooms and areas', 'No smoking rooms']","['Non-smoking rooms', 'Non-Smoking Rooms']"
Board Games,"['Board Games', 'Games Room', 'Games room']",['Board Games'],['Board Games'],['Board Games']
Soundproof rooms,"['Soundproof rooms', 'Soundproofed rooms', 'Soundproofed Rooms']","['Soundproof rooms', 'Soundproofed rooms', 'Soundproofed Rooms']","['Soundproof rooms', 'Soundproofed rooms', 'Soundproofed Rooms']",['Soundproof rooms']
Live entertainment,"['Live Entertainment', 'Live entertainment']","['Live Entertainment', 'Live entertainment']","['Live Entertainment', 'Live entertainment']","['Live Entertainment', 'Live entertainment']"
Cordless Telephone,"['Cordless Telephone', 'Telephone', 'Cordless phone']","['Cordless Telephone', 'Cordless phone']","['Cordless Telephone', 'Cordless phone']",['Cordless Telephone']
Film processing,['Film processing'],['Film processing'],['Film processing'],['Film processing']
Free valet parking,"['Free parking nearby', 'Secure parking (surcharge)', 'Free covered parking', 'Parking(free)', 'Valet parking', 'Free secure outdoor parking', 'Free garage parking', 'Free valet parking', 'Garage parking (surcharge)', 'Free secure covered parking', 'Free parking (limited spaces)', 'Parking', 'Free outdoor parking', 'Parking(valet)', 'Free on-street parking', 'Valet parking (surcharge)', 'Valet Parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']","['Free parking nearby', 'Parking(free)', 'Valet parking', 'Free garage parking', 'Free valet parking', 'Parking(valet)', 'Valet parking (surcharge)', 'Valet Parking', 'Free secure parking', 'Free Parking', 'Parking (free)']","['Parking(free)', 'Valet parking', 'Free valet parking', 'Parking(valet)', 'Valet Parking', 'Free Parking', 'Parking (free)']",['Free valet parking']
Butler service,"['Butler Service', 'Butler service', 'Concierge Service', 'Maid service']","['Butler Service', 'Butler service']","['Butler Service', 'Butler service']","['Butler Service', 'Butler service']"
Handheld showerhead,"['Handheld showerhead', 'Hydromassage showerhead']",['Handheld showerhead'],['Handheld showerhead'],['Handheld showerhead']
In-room massage available,"['Attached bathroom in all the rooms', 'Massage - spa treatment room(s)', 'Breakfast in the Room', 'Massage-treatment room(s)', 'Breakfast in the room', 'In-room massage available', 'In room safe', 'Massage room', 'Sofa in the room', 'In-room safe (some rooms)', 'Dining Room Available for groups on special arrangement', 'In-room safe']","['Massage-treatment room(s)', 'In-room massage available', 'Massage room']",['In-room massage available'],['In-room massage available']
Cable Tv,"['Cable/satellite TV', 'TV with satellite / Cable TV channels', 'Cable Tv', 'Cable TV service', 'TV', 'LCD television with multi channel cable', 'Satellite TV']","['Cable/satellite TV', 'TV with satellite / Cable TV channels', 'Cable Tv', 'Cable TV service', 'TV', 'LCD television with multi channel cable']","['Cable/satellite TV', 'TV with satellite / Cable TV channels', 'Cable Tv', 'Cable TV service']",['Cable Tv']
AC/Heater,"['AC/Heater', 'ac', 'AC / Heater']","['AC/Heater', 'AC / Heater']","['AC/Heater', 'AC / Heater']","['AC/Heater', 'AC / Heater']"
Meeting facilities size (meters) -,"['Meeting facilities size (feet) -', 'Meeting facilities size (meters) -', 'Meeting facilities', 'Room size (square meters)']","['Meeting facilities size (feet) -', 'Meeting facilities size (meters) -']","['Meeting facilities size (feet) -', 'Meeting facilities size (meters) -']",['Meeting facilities size (meters) -']
Free long-term parking,"['Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Long-term parking (surcharge)', 'Free long-distance calls', 'Free long-term parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Free on-street parking', 'Free secure parking', 'Free guest parking during stay', 'Free Parking', 'Parking (free)', 'Free self parking']","['Parking(free)', 'Long-term parking (surcharge)', 'Free long-term parking', 'Free Parking', 'Parking (free)']",['Free long-term parking'],['Free long-term parking']
Garage parking (surcharge),"['RV, bus, truck parking (surcharge)', 'Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Valet parking', 'Parking (surcharge)', 'Free garage parking', 'Long-term parking (surcharge)', 'Free valet parking', 'Garage parking (surcharge)', 'Parking', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Parking Facility', 'Secure outdoor parking (surcharge)', 'Parking garage', 'Parking(valet)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Valet Parking', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']","['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Parking (surcharge)', 'Garage parking (surcharge)', 'Parking', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Parking garage', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']","['Parking (surcharge)', 'Garage parking (surcharge)', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Parking garage', 'Valet parking (surcharge)']",['Garage parking (surcharge)']
Complimentary newspaper(M-F),['Complimentary newspaper(M-F)'],['Complimentary newspaper(M-F)'],['Complimentary newspaper(M-F)'],['Complimentary newspaper(M-F)']
Secretarial services,"['Secretarial services', 'Concierge services', 'Secretarial Services']","['Secretarial services', 'Secretarial Services']","['Secretarial services', 'Secretarial Services']","['Secretarial services', 'Secretarial Services']"
Babysitting or child care,"['Babysitting or childcare (free)', 'Babysitting or child care', 'Babysitting or childcare', 'Babysitting/Child Services']","['Babysitting or child care', 'Babysitting or childcare', 'Babysitting/Child Services']","['Babysitting or child care', 'Babysitting/Child Services']",['Babysitting or child care']
Free secure covered parking,"['Free parking nearby', 'Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free valet parking', 'Free long-term parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Free outdoor parking', 'Parking(secure)', 'Secure outdoor parking (surcharge)', 'Free on-street parking', 'Secure parking', 'Free secure parking', 'Free guest parking during stay', 'Free Parking', 'Parking (free)', 'Free self parking']","['Secure covered parking (surcharge)', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Parking(secure)', 'Secure parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']","['Free covered parking', 'Free secure outdoor parking', 'Free secure covered parking', 'Free secure parking']","['Free secure covered parking', 'Free secure parking']"
Water Sports Facilities on site,"['Ski equipment hire on site', 'Spa services on site', 'Water Sports Facilities on site', 'Water Sports']",['Water Sports Facilities on site'],['Water Sports Facilities on site'],['Water Sports Facilities on site']
Coffee shop or caf,"['24-hour Coffee Shop', 'Coffee shop or caf', 'Coffee Shop', '24 hour coffee shop', 'Number of coffee shops/cafes -']","['Coffee shop or caf', 'Coffee Shop']","['Coffee shop or caf', 'Coffee Shop']",['Coffee shop or caf']
Wi-Fi,"['Wifi EnabledFree Wi-Fi', 'Wi-Fi', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi', 'Free Wi Fi*']","['Wifi EnabledFree Wi-Fi', 'Wi-Fi', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi', 'Free Wi Fi*']","['Wi-Fi', 'Wi-fi']","['Wi-Fi', 'Wi-fi']"
Room Size:56 sq m(602 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', '100-200 Sq.Feet', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room size (square meters)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
